trip_id,shopping_time
4310899,3109.2988
4310904,4045.064
4310907,3244.7976
4310911,1733.6684
4310328,2781.5832
4310306,3193.0052
4311006,1182.3414
4310319,2928.9784
4311215,2065.241
4311270,1340.2696
4310303,1537.4616
4310316,1685.465
4310933,3920.3328
4311216,1669.6126
4311650,2948.2712
4311812,3065.4534
4311412,2211.9072
4311860,3667.8568
4311925,3874.681
4312038,1584.2514
4312253,3396.3086
4312266,2633.7878
4312283,2499.5046
4312290,2754.9146
4312299,2911.0222
4312304,5018.2298
4312311,2630.1714
4312306,4110.3918
4312315,3306.597
4312325,2419.3122
4312328,3447.8416
4312331,3281.7666
4312334,1450.2536
4312341,2881.5114
4312339,2650.885
4312340,3113.8636
4312342,3480.7646
4312344,3042.162
4312347,4043.657
4312350,1860.2172
4312354,3339.4374
4312352,3325.7874
4312359,3196.53
4312361,4382.4156
4312362,3205.9606
4312363,3323.4872
4312365,3333.1468
4312366,1885.895
4312367,3268.8634
4312369,1565.1
4312371,2626.724
4312373,2120.9162
4312374,3716.8556
4312379,3142.0748
4312381,2666.4562
4312382,2657.4692
4312384,2249.7134
4312388,1935.4336
4312391,3717.8306
4312393,1539.5384
4312418,2439.003
4312539,2922.937
4311913,3296.5322
4312065,1769.6676
4310324,4122.3786
4312530,4369.4532
4312150,3103.588
4312488,1590.2796
4312454,1223.6944
4312731,2290.0598
4312783,4588.2988
4312826,2470.7558
4312839,1764.682
4312861,3611.1172
4312888,4937.522
4312531,2118.5718
4312626,1906.7712
4312532,3208.8664
4312988,4493.2524
4312997,4913.8686
4312624,1195.4414
4312775,2714.986
4313092,5107.1718
4313094,2577.03
4312678,2037.3642
4313144,2435.6074
4313264,2648.1566
4313332,3842.7782
4313337,3832.1422
4313345,4581.9984
4313355,4040.0986
4313360,2990.8218
4312742,2586.4628
4313376,6768.465
4313408,2003.68
4313426,2900.1992
4313427,2414.7374
4313431,1749.76
4313432,1246.4306
4313445,1950.4876
4313475,1825.604
4313494,3661.538
4313519,3148.203
4313538,3382.8502
4313586,4077.037
4313604,2074.8798
4313619,3872.5972
4313625,2302.587
4313644,2809.827
4313656,2973.6016
4313671,3393.9092
4312627,2122.5094
4313699,4950.2508
4313718,4105.0338
4313722,4382.7022
4313786,2407.5594
4313821,3317.0846
4313823,4634.2248
4313399,2367.8488
4313880,1911.5906
4313899,1991.2238
4313906,4807.627
4313947,2539.0074
4313970,1816.7274
4313979,1762.6456
4314007,3027.9212
4314037,3411.8384
4314046,2739.5298
4314049,1092.6008
4314082,2614.2492
4314097,3429.9242
4314105,1444.5996
4314117,2228.5692
4314136,1886.3052
4314208,3709.2532
4314215,2937.0732
4314229,2986.3504
4314250,2485.4626
4314255,1325.554
4314260,2554.2686
4314262,2318.8338
4314263,3107.2606
4314301,2836.1584
4314303,3253.3124
4314304,1514.5478
4314309,2595.9446
4313291,2029.6642
4313288,3186.5864
4313282,2748.2936
4314264,2107.4988
4314330,2451.6554
4314332,2680.7366
4313297,3837.1336
4314290,1929.5788
4314363,2529.255
4313949,3079.269
4314371,1944.2518
4314374,3257.2968
4313788,4148.0532
4314421,3247.5194
4313298,1740.6948
4314454,3894.1152
4314473,6865.8114
4314474,2176.7528
4314479,1605.8434
4314508,3071.596
4314509,1645.7522
4314513,2675.3658
4313292,1544.9864
4314536,3090.4626
4314544,3596.1684
4314286,3295.5448
4314553,3239.8138
4314558,2675.7558
4314561,3559.6938
4314594,3454.432
4314422,959.1444
4314618,3336.9216
4313869,3767.6046
4314689,4812.455
4314748,4510.0166
4314289,3119.9722
4314755,3256.1766
4314465,837.869
4314778,2539.7046
4314780,3909.9634
4314125,3300.5068
4313294,3668.0188
4314797,3266.685
4314818,3302.7538
4314822,1951.5836
4314883,3337.3646
4314893,2954.315
4313476,1150.3752
4314969,2708.4322
4314978,4776.719
4314983,4438.7446
4314987,2131.228
4314009,3140.9352
4314997,2792.771
4315030,2758.8732
4315042,3007.4034
4315050,1031.2202
4315098,1753.8046
4314288,2969.0714
4315113,6148.3968
4315116,2416.0908
4315122,3325.6766
4313296,1411.2516
4315145,3105.9468
4313303,1130.5526
4314956,5100.4216
4315155,5258.548
4315157,3271.8642
4315165,2667.7048
4315175,2770.108
4315219,2980.961
4315225,2592.5604
4315233,2820.7152
4314657,3597.3356
4315323,2764.8274
4315324,2771.751
4315325,2099.07
4314723,1772.3744
4315365,879.621
4315372,791.0138
4315376,1018.7586
4315396,1530.0184
4315403,3396.0222
4315430,3062.6022
4315433,2558.3284
4315017,964.261
4315442,1910.6298
4315429,2481.9242
4314788,3103.9022
4315459,2466.4784
4315461,1597.0006
4314661,3111.9382
4315468,3747.7612
4315486,2921.7238
4315498,2976.5456
4315510,1559.4482
4315511,3887.601
4315120,2239.892
4315005,870.3844
4315532,3001.4846
4315538,3640.1292
4315540,2493.7986
4315543,3167.7374
4314986,4776.0466
4315562,2755.618
4314752,1282.5978
4315583,4343.598
4315598,2810.756
4315600,2735.5878
4315633,4023.968
4315641,2863.8336
4314662,1620.6022
4314660,2307.54
4315657,3175.6264
4315684,3732.0802
4313299,1782.9332
4315717,2081.744
4315737,3339.254
4315738,3356.3254
4315739,2796.1624
4315791,1346.167
4315795,2934.5924
4315799,3136.4372
4315801,1462.4916
4315817,4563.8212
4315822,1915.6604
4315823,1604.2422
4315563,1378.709
4315835,3289.961
4315869,2304.6752
4315892,2416.2714
4315902,2193.2822
4315919,3569.5722
4315956,5455.2052
4315971,2940.5326
4316039,1382.409
4316069,4101.5208
4316089,2197.5506
4314581,2636.052
4316122,2968.9148
4316133,1940.686
4316182,3243.7702
4315009,2505.0558
4316215,3060.3418
4316217,2534.5154
4316220,2695.0004
4316221,2669.0808
4316233,2428.9174
4316302,5143.0336
4316310,4950.9212
4316319,3733.2756
4316322,2851.4732
4316324,1583.7176
4316330,3409.272
4316332,2658.6618
4316334,3044.5346
4316339,2939.203
4316342,2566.193
4316345,3259.8626
4316348,2817.5036
4316350,2555.5622
4316367,3013.7276
4316371,2133.4134
4316375,1655.79
4316379,3526.8832
4316146,3301.018
4315329,2240.8696
4316303,2184.907
4315330,2127.5024
4316442,2236.2226
4316447,1573.7582
4316512,2291.342
4315332,3088.3342
4315326,3806.2908
4316561,1512.2482
4316576,2283.3968
4316588,3492.9246
4316599,2003.7216
4316612,2813.5248
4316623,1201.4838
4315339,2841.9502
4316652,3303.5638
4316664,2555.3856
4316155,1752.5188
4315999,3142.769
4316600,2644.0726
4315327,2909.1844
4316696,2018.6894
4316333,2692.0374
4316731,2113.2728
4315341,2668.663
4316320,2371.0202
4316067,2021.6808
4316770,2366.9306
4316074,2536.0122
4316772,2413.1842
4315838,3022.6954
4315338,2145.523
4316819,2233.862
4316479,3246.2078
4315340,3427.3488
4316859,2361.1216
4316891,1982.813
4316892,3133.761
4316909,5087.4268
4315337,3235.5572
4316335,2181.7446
4316941,3935.258
4316948,2888.4656
4316982,1828.521
4316984,1945.139
4316757,3355.7096
4315331,4556.401
4316671,2617.78
4317041,2215.232
4316572,3270.2542
4317050,2541.2646
4317056,3057.7558
4317067,2196.0248
4317070,1917.592
4317088,1334.5958
4317090,6166.437
4317093,2769.6504
4317096,1647.2966
4317154,2172.586
4317156,1713.1876
4316577,1211.3178
4317167,1448.5292
4317176,2580.273
4316890,1776.3824
4317181,4028.3392
4316603,1902.71
4317200,2090.559
4317222,3818.5348
4316956,2750.1044
4317225,2165.6354
4317235,1759.8526
4316720,1766.2652
4316773,2584.9008
4316745,2635.3398
4316528,3305.082
4317281,2147.8422
4317288,2725.008
4316672,1772.9216
4317292,3102.7128
4316478,1555.2234
4317312,3709.8938
4317325,1812.419
4316617,2507.6716
4317351,1416.431
4317375,2811.8836
4317381,3100.432
4317396,2374.548
4317414,3956.1446
4317335,1683.7294
4317423,933.4698
4317391,2707.685
4317430,2719.478
4317020,2551.8782
4317463,2887.403
4317477,3515.887
4317481,2340.6748
4317497,2308.8134
4317026,2814.471
4317520,2335.3066
4317536,2604.5006
4316648,2657.1044
4317540,3073.8614
4317548,2086.967
4317554,3489.4784
4317556,2159.2246
4317559,1375.2322
4317560,4026.9266
4317561,2143.8524
4317564,2792.2212
4317122,3388.829
4317574,1771.077
4317582,1377.2874
4317585,2121.5322
4317349,2845.097
4317601,2192.757
4317602,1033.4158
4315333,2463.8842
4317639,3630.9694
4317642,3640.2962
4317646,1136.8518
4317649,931.8356
4317671,3239.7652
4317685,2213.283
4317706,1612.5206
4317708,2979.3288
4317174,3826.6234
4317718,2412.8438
4317168,2387.2058
4317744,4276.9334
4317745,3013.2586
4317757,1849.6748
4317100,4722.534
4317802,2607.2352
4317803,3996.3246
4317813,1913.4004
4317816,2894.5584
4317125,2359.5962
4317829,2577.5216
4317279,1320.7778
4317295,1450.4978
4317846,1811.0062
4317534,2719.227
4315336,1378.3702
4317859,2771.948
4317865,1919.7662
4317889,2655.5668
4316926,2727.0494
4317905,2899.713
4317933,1690.2052
4317155,2977.6804
4317959,3437.7298
4316640,3181.008
4317986,931.8356
4318008,2908.3376
4318010,2877.6018
4318016,2802.8912
4317499,3385.8126
4318035,3045.2426
4317490,2138.784
4318053,2116.8592
4318056,1743.363
4317567,3623.1926
4318086,2669.1802
4318109,1457.927
4318113,3082.6488
4318152,2658.2934
4318189,3030.2976
4318206,2229.6022
4316939,2296.7776
4317729,2764.031
4317857,2194.324
4318253,3225.145
4318259,1834.3668
4318290,3015.994
4318301,2600.7652
4318310,2488.8428
4318312,4043.6078
4318315,2483.5124
4317767,2285.9892
4318325,1685.9186
4318349,4011.5376
4318355,5345.0968
4318356,3005.4176
4318357,1696.2604
4318358,1870.019
4318361,1931.8002
4317976,2178.609
4317719,2012.346
4318456,2612.3542
4318461,2210.96
4318469,1691.6056
4318475,2891.033
4318477,3924.419
4318480,1806.0038
4318481,1659.2412
4318482,3786.5344
4318499,2629.8288
4318500,2393.0368
4318505,1192.1258
4318510,2546.5
4318545,1988.6694
4317420,3478.2464
4317416,2374.6226
4318568,2113.5664
4318591,1749.3804
4318619,2492.2386
4318142,2902.7826
4318685,1555.6838
4318689,4515.3994
4318706,2596.4972
4318721,2465.9424
4318737,2440.6578
4318749,5199.5264
4317421,2370.6794
4318771,2140.3432
4318235,2166.7626
4318304,1106.3746
4318810,1585.133
4318818,1922.3542
4318835,1975.1698
4318762,2542.2572
4318496,1453.0366
4318880,2323.8252
4317668,1886.4098
4318917,2847.5502
4318957,1998.2484
4318965,3474.0764
4318971,1808.7288
4318601,2078.6872
4318988,3300.7642
4318991,3008.5362
4318848,2212.5838
4319000,4070.1298
4318514,3041.5352
4319031,2166.7436
4319084,3688.759
4319097,4643.893
4319099,1586.7086
4318832,2511.4098
4319130,2947.7164
4317418,3468.0654
4319138,2417.5474
4319140,3062.6456
4319145,2845.1552
4319057,2668.0172
4319216,3113.3444
4319243,4767.7548
4319244,2235.388
4319247,998.8442
4318960,2147.0578
4319267,2504.6998
4318634,2230.1448
4318495,2156.169
4319276,1691.6646
4319295,1398.8632
4319311,1863.5614
4319325,2667.302
4319335,2606.1422
4319361,2079.5818
4317419,5010.3904
4319366,2258.494
4318867,2635.9424
4319380,2359.7788
4319383,4297.1624
4318604,1883.3452
4318961,3316.9728
4318838,2575.0436
4318584,1789.2358
4319412,4674.7188
4319413,1626.945
4319418,4302.3004
4319422,3110.2168
4319136,2032.9114
4319467,1169.0842
4319468,2288.8014
4319359,2890.0844
4318678,1330.1176
4319554,3495.9232
4319556,2908.1628
4319561,3230.1058
4318956,2597.775
4318778,2132.5388
4319596,3272.8734
4319602,2105.9332
4319605,2672.9992
4318962,3300.6392
4319624,2904.7096
4319634,3552.7186
4319635,2278.4858
4319286,1245.2172
4319653,2881.0742
4319661,2318.4654
4319170,2970.7326
4318754,3094.1158
4319691,2741.108
